2025-12-10 13:14:58 [GPU-PF] Error: 1.45 m | StdDev: 4.45 m | Neff: 1915 | ResRaw[Mean:0.0 Std:2.9] | Meas[N:10000 Mean:-110.1 Std:0.2] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:14:58 [GPU-PF] Error: 1.54 m | StdDev: 4.45 m | Neff: 1907 | ResRaw[Mean:0.0 Std:2.9] | Meas[N:10000 Mean:-110.8 Std:0.3] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:14:58 [GPU-PF] Error: 1.63 m | StdDev: 4.44 m | Neff: 1898 | ResRaw[Mean:0.0 Std:2.8] | Meas[N:10000 Mean:-110.6 Std:0.4] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:14:58 [GPU-PF] Error: 1.71 m | StdDev: 4.43 m | Neff: 1887 | ResRaw[Mean:-0.0 Std:2.7] | Meas[N:10000 Mean:-110.2 Std:0.5] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:14:58 [GPU-PF] Error: 1.77 m | StdDev: 4.41 m | Neff: 1873 | ResRaw[Mean:-0.0 Std:2.7] | Meas[N:10000 Mean:-110.3 Std:0.4] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:14:58 [GPU-PF] Error: 1.83 m | StdDev: 4.40 m | Neff: 1855 | ResRaw[Mean:0.0 Std:2.7] | Meas[N:10000 Mean:-111.3 Std:0.6] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:14:58 [GPU-PF] Error: 1.87 m | StdDev: 4.39 m | Neff: 1840 | ResRaw[Mean:0.0 Std:2.7] | Meas[N:10000 Mean:-110.9 Std:0.8] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:14:58 [GPU-PF] Error: 1.88 m | StdDev: 4.37 m | Neff: 1825 | ResRaw[Mean:-0.0 Std:2.7] | Meas[N:10000 Mean:-110.5 Std:0.8] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:14:58 [GPU-PF] Error: 1.87 m | StdDev: 4.37 m | Neff: 1801 | ResRaw[Mean:0.0 Std:2.8] | Meas[N:10000 Mean:-110.7 Std:0.7] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:14:58 [GPU-PF] Error: 1.89 m | StdDev: 4.36 m | Neff: 1767 | ResRaw[Mean:0.0 Std:2.9] | Meas[N:10000 Mean:-110.9 Std:1.0] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:14:58 [GPU-PF] Error: 1.97 m | StdDev: 4.33 m | Neff: 1702 | ResRaw[Mean:0.0 Std:3.3] | Meas[N:10000 Mean:-110.1 Std:1.3] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:14:58 [GPU-PF] Error: 2.06 m | StdDev: 4.30 m | Neff: 1612 | ResRaw[Mean:-0.0 Std:3.6] | Meas[N:10000 Mean:-110.5 Std:1.7] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:14:58 [GPU-PF] Error: 2.34 m | StdDev: 4.29 m | Neff: 1502 | ResRaw[Mean:0.0 Std:3.6] | Meas[N:10000 Mean:-110.0 Std:1.5] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:14:58 [GPU-PF] Error: 2.67 m | StdDev: 4.27 m | Neff: 1347 | ResRaw[Mean:0.0 Std:4.1] | Meas[N:10000 Mean:-109.8 Std:1.9] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:14:58 [GPU-PF] Error: 3.00 m | StdDev: 4.26 m | Neff: 1177 | ResRaw[Mean:-0.0 Std:4.2] | Meas[N:10000 Mean:-110.5 Std:1.9] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:14:58 [GPU-PF] Error: 3.41 m | StdDev: 4.23 m | Neff: 990 | ResRaw[Mean:0.0 Std:4.2] | Meas[N:10000 Mean:-110.4 Std:1.8] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:14:58 [GPU-PF] Error: 4.02 m | StdDev: 4.24 m | Neff: 1951 | ResRaw[Mean:-0.0 Std:4.5] | Meas[N:10000 Mean:-110.2 Std:2.2] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:14:58 [GPU-PF] Error: 4.57 m | StdDev: 4.28 m | Neff: 1799 | ResRaw[Mean:0.0 Std:4.6] | Meas[N:10000 Mean:-111.0 Std:2.1] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:14:58 [GPU-PF] Error: 5.11 m | StdDev: 4.32 m | Neff: 1553 | ResRaw[Mean:0.0 Std:4.4] | Meas[N:10000 Mean:-110.7 Std:1.9] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:14:58 [GPU-PF] Error: 5.72 m | StdDev: 4.40 m | Neff: 1279 | ResRaw[Mean:0.0 Std:4.4] | Meas[N:10000 Mean:-110.7 Std:1.9] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:14:58 [GPU-PF] Error: 6.08 m | StdDev: 4.54 m | Neff: 977 | ResRaw[Mean:0.0 Std:4.4] | Meas[N:10000 Mean:-110.5 Std:1.9] | Diff[Mean:0.0 Std:0.0]
